Date,State,18+ Dose 1,18+ Dose 2,18+ Total Doses,15-18 Dose 1,15-18 Dose 2,15-18 Total Doses,12-14 Dose 1,12-14 Dose 2,12-14 Total Doses,18-59 Booster Dose,60+ Booster Dose,Booster Total Doses,Total Doses,Week,Month,Year
2021-03-02,NCT of Delhi,385341,40139,425480,0,0,0,0,0,0,0,0,0,425480,WK 09-2021,Mar-2021,2021
2021-03-02,Goa,20622,2321,22943,0,0,0,0,0,0,0,0,0,22943,WK 09-2021,Mar-2021,2021
2021-03-02,Gujarat,889167,180941,1070108,0,0,0,0,0,0,0,0,0,1070108,WK 09-2021,Mar-2021,2021
2021-03-02,Haryana,225281,74391,299672,0,0,0,0,0,0,0,0,0,299672,WK 09-2021,Mar-2021,2021
2021-03-02,Himachal Pradesh,102373,25720,128093,0,0,0,0,0,0,0,0,0,128093,WK 09-2021,Mar-2021,2021
2021-03-02,Jammu & Kashmir,251276,17280,268556,0,0,0,0,0,0,0,0,0,268556,WK 09-2021,Mar-2021,2021
2021-03-02,Jharkhand,288240,28056,316296,0,0,0,0,0,0,0,0,0,316296,WK 09-2021,Mar-2021,2021
2021-03-02,Karnataka,608840,214820,823660,0,0,0,0,0,0,0,0,0,823660,WK 09-2021,Mar-2021,2021
2021-03-02,Kerala,511510,113613,625123,0,0,0,0,0,0,0,0,0,625123,WK 09-2021,Mar-2021,2021
2021-03-02,Ladakh,9226,829,10055,0,0,0,0,0,0,0,0,0,10055,WK 09-2021,Mar-2021,2021
2021-03-02,Lakshadweep,2410,802,3212,0,0,0,0,0,0,0,0,0,3212,WK 09-2021,Mar-2021,2021
2021-03-02,Madhya Pradesh,671302,183795,855097,0,0,0,0,0,0,0,0,0,855097,WK 09-2021,Mar-2021,2021
2021-03-02,Maharashtra,1063187,173817,1237004,0,0,0,0,0,0,0,0,0,1237004,WK 09-2021,Mar-2021,2021
2021-03-02,Manipur,53805,2653,56458,0,0,0,0,0,0,0,0,0,56458,WK 09-2021,Mar-2021,2021
2021-03-02,Meghalaya,31202,1920,33122,0,0,0,0,0,0,0,0,0,33122,WK 09-2021,Mar-2021,2021
2021-03-02,Mizoram,22819,6694,29513,0,0,0,0,0,0,0,0,0,29513,WK 09-2021,Mar-2021,2021
2021-03-02,Nagaland,30251,5579,35830,0,0,0,0,0,0,0,0,0,35830,WK 09-2021,Mar-2021,2021
2021-03-02,Odisha,475608,165127,640735,0,0,0,0,0,0,0,0,0,640735,WK 09-2021,Mar-2021,2021
2021-03-02,Puducherry,10292,1474,11766,0,0,0,0,0,0,0,0,0,11766,WK 09-2021,Mar-2021,2021
2021-03-02,Punjab,161361,38683,200044,0,0,0,0,0,0,0,0,0,200044,WK 09-2021,Mar-2021,2021
2021-03-02,Rajasthan,863992,245561,1109553,0,0,0,0,0,0,0,0,0,1109553,WK 09-2021,Mar-2021,2021
2021-03-02,Sikkim,17516,1882,19398,0,0,0,0,0,0,0,0,0,19398,WK 09-2021,Mar-2021,2021
2021-03-02,Tamil Nadu,414032,66379,480411,0,0,0,0,0,0,0,0,0,480411,WK 09-2021,Mar-2021,2021
2021-03-02,Telangana,294255,130019,424274,0,0,0,0,0,0,0,0,0,424274,WK 09-2021,Mar-2021,2021
2021-03-02,Tripura,90990,22780,113770,0,0,0,0,0,0,0,0,0,113770,WK 09-2021,Mar-2021,2021
2021-03-02,Uttar Pradesh,1178302,310119,1488421,0,0,0,0,0,0,0,0,0,1488421,WK 09-2021,Mar-2021,2021
2021-03-02,Uttarakhand,143835,21677,165512,0,0,0,0,0,0,0,0,0,165512,WK 09-2021,Mar-2021,2021
2021-03-02,West Bengal,975574,148584,1124158,0,0,0,0,0,0,0,0,0,1124158,WK 09-2021,Mar-2021,2021
2021-03-03,Andaman & Nicobar Island,6912,2589,9501,0,0,0,0,0,0,0,0,0,9501,WK 09-2021,Mar-2021,2021
2021-03-03,Andhra Pradesh,554530,144834,699364,0,0,0,0,0,0,0,0,0,699364,WK 09-2021,Mar-2021,2021
2021-03-03,Arunanchal Pradesh,29580,7451,37031,0,0,0,0,0,0,0,0,0,37031,WK 09-2021,Mar-2021,2021
2021-03-03,Assam,220573,30730,251303,0,0,0,0,0,0,0,0,0,251303,WK 09-2021,Mar-2021,2021
2021-03-03,Bihar,569040,91556,660596,0,0,0,0,0,0,0,0,0,660596,WK 09-2021,Mar-2021,2021
2021-03-03,Chandigarh,22299,1966,24265,0,0,0,0,0,0,0,0,0,24265,WK 09-2021,Mar-2021,2021
2021-03-03,Chhattisgarh,398574,61489,460063,0,0,0,0,0,0,0,0,0,460063,WK 09-2021,Mar-2021,2021
2021-03-03,Dadara & Nagar Havelli,5334,576,5910,0,0,0,0,0,0,0,0,0,5910,WK 09-2021,Mar-2021,2021
2021-03-03,Daman & Diu,2718,325,3043,0,0,0,0,0,0,0,0,0,3043,WK 09-2021,Mar-2021,2021
2021-03-03,NCT of Delhi,402942,43815,446757,0,0,0,0,0,0,0,0,0,446757,WK 09-2021,Mar-2021,2021
2021-03-03,Goa,23200,3208,26408,0,0,0,0,0,0,0,0,0,26408,WK 09-2021,Mar-2021,2021
2021-03-03,Gujarat,979651,191852,1171503,0,0,0,0,0,0,0,0,0,1171503,WK 09-2021,Mar-2021,2021
2021-03-03,Haryana,231579,76796,308375,0,0,0,0,0,0,0,0,0,308375,WK 09-2021,Mar-2021,2021
2021-03-03,Himachal Pradesh,104268,29736,134004,0,0,0,0,0,0,0,0,0,134004,WK 09-2021,Mar-2021,2021
