Date,State,Confirmed,Recovered,Deaths,State_Code,Active,Week,Month,Year
2020-04-18,Odisha,60,21,1,21,38,WK 15-2020,Apr-2020,2020
2020-04-18,Puducherry,7,3,0,34,4,WK 15-2020,Apr-2020,2020
2020-04-18,Punjab,202,27,13,3,162,WK 15-2020,Apr-2020,2020
2020-04-18,Rajasthan,1229,183,11,8,1035,WK 15-2020,Apr-2020,2020
2020-04-18,Sikkim,0,0,0,11,0,WK 15-2020,Apr-2020,2020
2020-04-18,Tamil Nadu,1323,283,18,33,1022,WK 15-2020,Apr-2020,2020
2020-04-18,Telangana,791,186,18,36,587,WK 15-2020,Apr-2020,2020
2020-04-18,Tripura,2,1,0,16,1,WK 15-2020,Apr-2020,2020
2020-04-18,Uttar Pradesh,969,86,14,9,869,WK 15-2020,Apr-2020,2020
2020-04-18,Uttarakhand,42,9,0,5,33,WK 15-2020,Apr-2020,2020
2020-04-18,West Bengal,287,55,10,19,222,WK 15-2020,Apr-2020,2020
2020-04-19,Andaman & Nicobar Island,14,11,0,35,3,WK 16-2020,Apr-2020,2020
2020-04-19,Andhra Pradesh,603,42,15,28,546,WK 16-2020,Apr-2020,2020
2020-04-19,Arunanchal Pradesh,1,0,0,12,1,WK 16-2020,Apr-2020,2020
2020-04-19,Assam,35,12,1,18,22,WK 16-2020,Apr-2020,2020
2020-04-19,Bihar,86,37,2,10,47,WK 16-2020,Apr-2020,2020
2020-04-19,Chandigarh,23,10,0,4,13,WK 16-2020,Apr-2020,2020
2020-04-19,Chhattisgarh,36,24,0,22,12,WK 16-2020,Apr-2020,2020
2020-04-19,Dadara & Nagar Havelli,0,0,0,26,0,WK 16-2020,Apr-2020,2020
2020-04-19,Daman & Diu,0,0,0,25,0,WK 16-2020,Apr-2020,2020
2020-04-19,NCT of Delhi,1893,72,43,7,1778,WK 16-2020,Apr-2020,2020
2020-04-19,Goa,7,6,0,30,1,WK 16-2020,Apr-2020,2020
2020-04-19,Gujarat,1604,94,58,24,1452,WK 16-2020,Apr-2020,2020
2020-04-19,Haryana,233,87,3,6,143,WK 16-2020,Apr-2020,2020
2020-04-19,Himachal Pradesh,39,16,1,2,22,WK 16-2020,Apr-2020,2020
2020-04-19,Jammu & Kashmir,341,51,5,1,285,WK 16-2020,Apr-2020,2020
2020-04-19,Jharkhand,35,0,2,20,33,WK 16-2020,Apr-2020,2020
2020-04-19,Karnataka,384,104,14,29,266,WK 16-2020,Apr-2020,2020
2020-04-19,Kerala,400,257,3,32,140,WK 16-2020,Apr-2020,2020
2020-04-19,Ladakh,18,14,0,37,4,WK 16-2020,Apr-2020,2020
2020-04-19,Lakshadweep,0,0,0,31,0,WK 16-2020,Apr-2020,2020
2020-04-19,Madhya Pradesh,1407,127,70,23,1210,WK 16-2020,Apr-2020,2020
2020-04-19,Maharashtra,3651,365,211,27,3075,WK 16-2020,Apr-2020,2020
2020-04-19,Manipur,2,1,0,14,1,WK 16-2020,Apr-2020,2020
2020-04-19,Meghalaya,11,0,1,17,10,WK 16-2020,Apr-2020,2020
2020-04-19,Mizoram,1,0,0,15,1,WK 16-2020,Apr-2020,2020
2020-04-19,Nagaland,0,0,0,13,0,WK 16-2020,Apr-2020,2020
2020-04-19,Odisha,60,21,1,21,38,WK 16-2020,Apr-2020,2020
2020-04-19,Puducherry,7,3,0,34,4,WK 16-2020,Apr-2020,2020
2020-04-19,Punjab,219,31,16,3,172,WK 16-2020,Apr-2020,2020
2020-04-19,Rajasthan,1351,183,11,8,1157,WK 16-2020,Apr-2020,2020
2020-04-19,Sikkim,0,0,0,11,0,WK 16-2020,Apr-2020,2020
2020-04-19,Tamil Nadu,1372,365,15,33,992,WK 16-2020,Apr-2020,2020
2020-04-19,Telangana,844,186,18,36,640,WK 16-2020,Apr-2020,2020
2020-04-19,Tripura,2,1,0,16,1,WK 16-2020,Apr-2020,2020
2020-04-19,Uttar Pradesh,1084,108,17,9,959,WK 16-2020,Apr-2020,2020
2020-04-19,Uttarakhand,42,9,0,5,33,WK 16-2020,Apr-2020,2020
2020-04-19,West Bengal,310,62,12,19,236,WK 16-2020,Apr-2020,2020
2020-04-20,Andaman & Nicobar Island,15,11,0,35,4,WK 16-2020,Apr-2020,2020
2020-04-20,Andhra Pradesh,722,92,20,28,610,WK 16-2020,Apr-2020,2020
2020-04-20,Arunanchal Pradesh,1,0,0,12,1,WK 16-2020,Apr-2020,2020
2020-04-20,Assam,35,17,1,18,17,WK 16-2020,Apr-2020,2020
2020-04-20,Bihar,96,42,2,10,52,WK 16-2020,Apr-2020,2020
2020-04-20,Chandigarh,26,13,0,4,13,WK 16-2020,Apr-2020,2020
2020-04-20,Chhattisgarh,36,25,0,22,11,WK 16-2020,Apr-2020,2020
2020-04-20,Dadara & Nagar Havelli,0,0,0,26,0,WK 16-2020,Apr-2020,2020
2020-04-20,Daman & Diu,0,0,0,25,0,WK 16-2020,Apr-2020,2020
2020-04-20,NCT of Delhi,2003,290,45,7,1668,WK 16-2020,Apr-2020,2020
2020-04-20,Goa,7,7,0,30,0,WK 16-2020,Apr-2020,2020
2020-04-20,Gujarat,1851,106,67,24,1678,WK 16-2020,Apr-2020,2020
2020-04-20,Haryana,233,87,3,6,143,WK 16-2020,Apr-2020,2020
2020-04-20,Himachal Pradesh,39,16,1,2,22,WK 16-2020,Apr-2020,2020
2020-04-20,Jammu & Kashmir,350,56,5,1,289,WK 16-2020,Apr-2020,2020
2020-04-20,Jharkhand,42,0,2,20,40,WK 16-2020,Apr-2020,2020
2020-04-20,Karnataka,395,111,16,29,268,WK 16-2020,Apr-2020,2020
2020-04-20,Kerala,402,270,3,32,129,WK 16-2020,Apr-2020,2020
2020-04-20,Ladakh,18,14,0,37,4,WK 16-2020,Apr-2020,2020
2020-04-20,Lakshadweep,0,0,0,31,0,WK 16-2020,Apr-2020,2020
2020-04-20,Madhya Pradesh,1485,127,74,23,1284,WK 16-2020,Apr-2020,2020
2020-04-20,Maharashtra,4203,507,223,27,3473,WK 16-2020,Apr-2020,2020
2020-04-20,Manipur,2,2,0,14,0,WK 16-2020,Apr-2020,2020
2020-04-20,Meghalaya,11,0,1,17,10,WK 16-2020,Apr-2020,2020
2020-04-20,Mizoram,1,0,0,15,1,WK 16-2020,Apr-2020,2020
2020-04-20,Nagaland,0,0,0,13,0,WK 16-2020,Apr-2020,2020
2020-04-20,Odisha,68,21,1,21,46,WK 16-2020,Apr-2020,2020
2020-04-20,Puducherry,7,3,0,34,4,WK 16-2020,Apr-2020,2020
